company_id,company_name,country,eu_member_state,region,sector,subsector,industry,revenue_usd,total_assets_usd,employees,entity_type,listing_status,stock_symbol,fiscal_year,currency,company_size_band,csrd_applicable
1,LOT Polish Airlines,Poland,Poland,Central Europe,Automotive/Transport,Automotive OEM,Commercial Vehicles,1165939081.16,2210767174.37,4894,Private,Unlisted,,2024,EUR,Medium,Yes
2,Unibail-Rodamco (NL ops),Netherlands,Netherlands,Western Europe,Construction/Industrials,Real Estate,Commercial Real Estate,220937427.45,458033412.85,1076,Private,Unlisted,,2024,EUR,Medium,Yes
3,Bord Gáis Energy,Ireland,Ireland,Western Europe,Energy/Utilities,Renewable Energy,Wind,23015366.45,74992704.21,20,Private,Unlisted,,2024,EUR,Small,No
4,TomTom N.V.,Netherlands,Netherlands,Western Europe,Technology,Semiconductors,Semiconductor Devices,3787995620.92,4152157745.34,10128,Public,Listed,TOMT.AS,2024,EUR,Large,Yes
5,Douglas AG,Germany,Germany,Central Europe,Consumer Goods/Retail,Apparel & Luxury,Apparel,1080607992.2,1115389410.16,9214,Public,Listed,DOUG.DE,2024,EUR,Medium,Yes
6,Amundi SA,France,France,Western Europe,Financial Services,Banking,Commercial Banking,2100036977.49,21404113094.6,8177,Private,Unlisted,,2024,EUR,Large,Yes
7,Traton SE,Germany,Germany,Central Europe,Automotive/Transport,Automotive OEM,Commercial Vehicles,229748850.46,466908950.03,721,Private,Unlisted,,2024,EUR,Medium,Yes
8,Aegean Airlines,Greece,Greece,Southern Europe,Automotive/Transport,Airlines,Cargo Airline,1762055301.7,3366529067.09,8555,Public,Listed,AEGE.AT,2024,EUR,Large,Yes
9,Huuuge Games,Poland,Poland,Central Europe,Technology,IT Services,Managed Services,25775519.01,37157260.12,45,Private,Unlisted,,2024,EUR,Small,No
10,Canal+ Group,France,France,Western Europe,Consumer Goods/Retail,Hotels & Leisure,Hospitality,19678836.88,26625106.51,66,Private,Unlisted,,2024,EUR,Small,No
11,Skeleton Technologies,Estonia,Estonia,Northern Europe,Energy/Utilities,Water Utilities,Water & Waste,62706641.66,127978177.91,73,Public,Listed,SKEL.EU,2024,EUR,Small,No
12,KLM Royal Dutch Airlines,Netherlands,Netherlands,Western Europe,Automotive/Transport,Logistics,Postal & Parcel,2145724323.52,3924980130.39,9474,Private,Unlisted,,2024,EUR,Large,Yes
13,Champagne Bollinger,France,France,Western Europe,Consumer Goods/Retail,Media & Entertainment,Media,11253035983.93,19856376886.49,81923,Public,Listed,CHAM.PA,2024,EUR,Large,Yes
14,Valentino Group,Italy,Italy,Southern Europe,Consumer Goods/Retail,Media & Entertainment,Media,3289641597.1,3202167582.95,18996,Public,Listed,VALE.MI,2024,EUR,Large,Yes
15,Glenveagh Properties,Ireland,Ireland,Western Europe,Construction/Industrials,Machinery,Agricultural Machinery,366415267.33,652826413.64,1984,Private,Unlisted,,2024,EUR,Medium,Yes
16,Zealand Pharma,Denmark,Denmark,Northern Europe,Healthcare/Pharma,Biotechnology,Biotech,6490467492.59,11461088812.88,35328,Public,Unlisted,,2024,EUR,Large,Yes
17,MásMóvil Ibercom,Spain,Spain,Southern Europe,Telecommunications,Telecom Infrastructure,Towers & Fiber,4650538092.73,7188324527.45,19086,Public,Listed,MÁSM.MC,2024,EUR,Large,Yes
18,De'Longhi Appliances,Italy,Italy,Southern Europe,Consumer Goods/Retail,E-Commerce,Online Retail,4206670265.91,6724695556.52,17609,Public,Unlisted,,2024,EUR,Large,Yes
19,TAG Immobilien AG,Germany,Germany,Central Europe,Construction/Industrials,Building Products,Building Materials,375639013.35,444244732.83,1156,Private,Unlisted,,2024,EUR,Medium,Yes
20,Siemens AG,Germany,Germany,Central Europe,Construction/Industrials,Machinery,Agricultural Machinery,40480331895.18,44376455278.52,221564,Public,Listed,SIEM.DE,2024,EUR,Large,Yes
21,Mytilineos S.A.,Greece,Greece,Southern Europe,Manufacturing,Paper & Packaging,Packaging,652829247.76,1140888087.86,1780,Public,Listed,MYTI.AT,2024,EUR,Medium,Yes
22,Solvay Belgium,Belgium,Belgium,Western Europe,Manufacturing,Chemicals,Specialty Chemicals,398635665.48,413339014.09,1438,Private,Unlisted,,2024,EUR,Medium,Yes
23,Electrica S.A.,Romania,Romania,Eastern Europe,Energy/Utilities,Renewable Energy,Solar,11817572522.3,21663230148.98,13757,Public,Listed,ELEC.BVB,2024,EUR,Large,Yes
24,TUI AG,Germany,Germany,Central Europe,Consumer Goods/Retail,Household Products,Household Goods,1928003499.26,3019916214.34,11703,Public,Listed,TUIA.DE,2024,EUR,Large,Yes
25,Tokmanni Group,Finland,Finland,Northern Europe,Consumer Goods/Retail,Food Retail,Supermarkets,43507404.44,75965707.66,344,Private,Unlisted,,2024,EUR,Small,No
26,S Immo AG,Austria,Austria,Central Europe,Construction/Industrials,Construction,Civil Engineering,971155926.83,1956680235.38,5443,Public,Listed,SIMM.VI,2024,EUR,Medium,Yes
27,A2A S.p.A.,Italy,Italy,Southern Europe,Energy/Utilities,Oil & Gas E&P,Upstream,10216368561.37,40825045079.38,11244,Public,Listed,A2AS.MI,2024,EUR,Large,Yes
28,Rovio Entertainment,Finland,Finland,Northern Europe,Technology,Software,Consumer Software,42530841481.35,57986308669.15,66432,Public,Listed,ROVI.HE,2024,EUR,Large,Yes
29,JDE Peet's,Netherlands,Netherlands,Western Europe,Consumer Goods/Retail,Apparel & Luxury,Apparel,10327253896.42,16572493758.09,37276,Public,Listed,JDEP.AS,2024,EUR,Large,Yes
30,CFE (Compagnie d'Entreprises),Belgium,Belgium,Western Europe,Construction/Industrials,Engineering Services,Engineering & Consulting,2702187178.97,3103000577.68,16818,Public,Listed,CFEC.BR,2024,EUR,Large,Yes
31,Orange SA,France,France,Western Europe,Telecommunications,Integrated Telecom,Integrated Telecom,9745840843.23,30321320727.96,31505,Public,Listed,ORAN.PA,2024,EUR,Large,Yes
32,Telefónica S.A.,Spain,Spain,Southern Europe,Telecommunications,Telecom Infrastructure,Towers & Fiber,3984671416.68,7666942111.42,10694,Public,Listed,TELE.MC,2024,EUR,Large,Yes
33,Andros,France,France,Western Europe,Consumer Goods/Retail,Food & Beverage,Beverages,1171468332.58,1826846816.76,9512,Public,Listed,ANDR.PA,2024,EUR,Medium,Yes
34,Gestamp,Spain,Spain,Southern Europe,Automotive/Transport,Rail,Rail Operator,5121785988.82,9200111615.76,18448,Public,Unlisted,,2024,EUR,Large,Yes
35,Nemetschek SE,Germany,Germany,Central Europe,Technology,Internet,Digital Media,166627118.68,282613624.96,365,Private,Unlisted,,2024,EUR,Medium,Yes
36,Gruppo Feltrinelli,Italy,Italy,Southern Europe,Consumer Goods/Retail,Food & Beverage,Beverages,1115122598.93,1126777872.71,7999,Public,Listed,GRUP.MI,2024,EUR,Medium,Yes
37,Origin Enterprises,Ireland,Ireland,Western Europe,Consumer Goods/Retail,Food & Beverage,Beverages,1058319416.28,915803656.82,4862,Public,Listed,ORIG.IR,2024,EUR,Medium,Yes
38,Autostrade per l'Italia,Italy,Italy,Southern Europe,Construction/Industrials,Aerospace & Defense,Commercial Aerospace,1713371355.85,3548825904.17,6422,Public,Listed,AUTO.MI,2024,EUR,Large,Yes
39,Creepy Jar,Poland,Poland,Central Europe,Technology,Software,Enterprise Software,2361081672.2,3575206912.24,5026,Public,Unlisted,,2024,EUR,Large,Yes
40,Arla Foods,Denmark,Denmark,Northern Europe,Consumer Goods/Retail,Food & Beverage,Packaged Food,757338460.0,1032914974.74,3106,Private,Unlisted,,2024,EUR,Medium,Yes
41,Just Eat Takeaway,Netherlands,Netherlands,Western Europe,Consumer Goods/Retail,Food & Beverage,Beverages,17847834.89,24448816.71,134,Private,Unlisted,,2024,EUR,Small,No
42,Fendi,Italy,Italy,Southern Europe,Consumer Goods/Retail,Apparel & Luxury,Luxury Goods,2076969127.87,1768014943.66,11532,Public,Unlisted,,2024,EUR,Large,Yes
43,Polytec Group,Austria,Austria,Central Europe,Automotive/Transport,Auto Components,Tier-1 Supplier,49689045.02,116464759.63,129,Private,Unlisted,,2024,EUR,Small,No
44,VodafoneZiggo,Netherlands,Netherlands,Western Europe,Telecommunications,Integrated Telecom,Integrated Telecom,14508128833.99,40505768969.33,60509,Public,Listed,VODA.AS,2024,EUR,Large,Yes
45,Landi Renzo,Italy,Italy,Southern Europe,Automotive/Transport,Shipping,Container Shipping,7806669949.12,19418642132.02,20575,Public,Listed,LAND.MI,2024,EUR,Large,Yes
46,Stillfront Group,Sweden,Sweden,Northern Europe,Technology,Semiconductors,Semiconductor Devices,91057660.25,134036277.08,209,Private,Unlisted,,2024,EUR,Small,No
47,Unipol Gruppo,Italy,Italy,Southern Europe,Financial Services,Banking,Commercial Banking,14299410090.12,154112752123.92,52940,Public,Listed,UNIP.MI,2024,EUR,Large,Yes
48,Euralis,France,France,Western Europe,Consumer Goods/Retail,Food & Beverage,Packaged Food,18734337114.34,20298406092.96,120373,Public,Listed,EURA.PA,2024,EUR,Large,Yes
49,Polski Bank Komórek Macierzystych,Poland,Poland,Central Europe,Healthcare/Pharma,Healthcare Services,Clinical Services,539684684.67,693447067.9,1605,Public,Listed,POLS.WA,2024,EUR,Medium,Yes
50,MONETA Stavební Spořitelna,Czechia,Czechia,Central Europe,Financial Services,Banking,Investment Banking,237437085.51,2448084107.32,649,Private,Unlisted,,2024,EUR,Medium,Yes
51,Rubeus Medical,Czechia,Czechia,Central Europe,Healthcare/Pharma,Biotechnology,Biotech,41913235149.86,100043541704.99,124475,Public,Listed,RUBE.PR,2024,EUR,Large,Yes
52,Sacyr S.A.,Spain,Spain,Southern Europe,Construction/Industrials,Machinery,Industrial Machinery,27533365.78,59213483.95,107,Private,Unlisted,,2024,EUR,Small,No
53,Jost Werke,Germany,Germany,Central Europe,Construction/Industrials,Professional Services,Facility Services,44539209418.6,93485213910.0,298928,Public,Listed,JOST.DE,2024,EUR,Large,Yes
54,Kesko Oyj,Finland,Finland,Northern Europe,Consumer Goods/Retail,Media & Entertainment,Media,8114983129.95,6888744822.19,64295,Public,Listed,KESK.HE,2024,EUR,Large,Yes
55,Prada S.p.A.,Italy,Italy,Southern Europe,Consumer Goods/Retail,Food Retail,Discount Retail,48481295.52,38663509.92,317,Private,Unlisted,,2024,EUR,Small,No
56,Komerční banka,Czechia,Czechia,Central Europe,Financial Services,Insurance,Reinsurance,803911978.16,9439751433.45,1761,Public,Listed,KOME.PR,2024,EUR,Medium,Yes
57,Paulig Group,Finland,Finland,Northern Europe,Consumer Goods/Retail,Food & Beverage,Packaged Food,2345891665.39,1959545923.37,13930,Public,Listed,PAUL.HE,2024,EUR,Large,Yes
58,Red Bull GmbH,Austria,Austria,Central Europe,Consumer Goods/Retail,Hotels & Leisure,Hospitality,532612759.42,780599440.12,4482,Public,Listed,REDB.VI,2024,EUR,Medium,Yes
