company_id,company_name,year,sector,country,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,energy_consumption_mwh,renewable_energy_percent,water_usage_m3,waste_generated_tons,waste_recycled_percent,employee_count,female_employee_ratio,board_independence_percent,incident_count,esg_score
1,LOT Polish Airlines,2024,Automotive/Transport,Poland,27122.88,44192.4,299018.71,49587.06,41.45,131305.71,21385.38,81.37,4894,0.313,36.26,8,58.53
2,Unibail-Rodamco (NL ops),2024,Construction/Industrials,Netherlands,14374.72,4016.78,69301.91,14569.01,12.91,56108.61,4771.12,46.46,1076,0.192,63.84,3,54.02
3,Bord Gáis Energy,2024,Energy/Utilities,Ireland,4970.39,823.23,14225.44,4546.96,50.56,117335.59,289.32,50.35,20,0.283,44.05,0,59.26
4,TomTom N.V.,2024,Technology,Netherlands,4603.34,3849.38,10910.46,20242.72,39.35,53264.54,5268.5,81.29,10128,0.326,57.35,3,69.29
5,Douglas AG,2024,Consumer Goods/Retail,Germany,5947.82,20030.32,102112.33,19543.92,63.3,157388.81,4668.63,70.44,9214,0.512,48.77,4,65.84
6,Amundi SA,2024,Financial Services,France,472.47,2617.09,451765.47,6383.74,60.62,18407.1,830.9,92.59,8177,0.456,84.01,1,69.35
7,Traton SE,2024,Automotive/Transport,Germany,13889.76,7154.18,125623.32,9394.6,23.34,120085.94,3263.08,74.63,721,0.365,44.95,1,47.04
8,Aegean Airlines,2024,Automotive/Transport,Greece,29174.61,35032.13,605967.28,48315.75,48.33,1029487.58,10015.52,67.21,8555,0.369,73.89,9,57.82
9,Huuuge Games,2024,Technology,Poland,30.3,101.35,376.45,216.95,72.55,904.52,72.06,81.82,45,0.33,76.62,1,67.9
10,Canal+ Group,2024,Consumer Goods/Retail,France,78.06,200.88,917.91,143.06,68.41,10290.93,206.18,55.67,66,0.615,51.9,1,68.54
11,Skeleton Technologies,2024,Energy/Utilities,Estonia,66648.71,5280.74,170082.47,21457.84,45.35,82320.23,3010.44,78.52,73,0.33,56.43,2,56.77
12,KLM Royal Dutch Airlines,2024,Automotive/Transport,Netherlands,131879.74,70991.84,1991958.78,105613.51,38.72,474031.86,23009.38,50.93,9474,0.362,41.36,8,43.25
13,Champagne Bollinger,2024,Consumer Goods/Retail,France,145292.21,138631.46,1531757.43,116969.01,34.78,3533194.22,162169.6,46.32,81923,0.548,50.16,6,57.07
14,Valentino Group,2024,Consumer Goods/Retail,Italy,14784.31,16468.77,94597.42,69249.6,42.76,2412513.86,20352.76,63.58,18996,0.69,48.91,5,68.33
15,Glenveagh Properties,2024,Construction/Industrials,Ireland,20261.26,10128.1,135125.53,29415.62,49.15,249499.78,20812.76,53.84,1984,0.307,58.18,4,53.4
16,Zealand Pharma,2024,Healthcare/Pharma,Denmark,85200.78,37969.7,368773.96,125121.33,29.75,861039.63,27824.92,83.34,35328,0.587,59.22,5,68.4
17,MásMóvil Ibercom,2024,Telecommunications,Spain,17853.1,97593.24,267154.65,143585.52,76.71,450688.26,12084.5,63.71,19086,0.419,63.52,4,65.07
18,De'Longhi Appliances,2024,Consumer Goods/Retail,Italy,23421.72,66297.09,452446.39,87694.19,62.99,2092194.86,71704.45,59.37,17609,0.521,39.33,3,59.05
19,TAG Immobilien AG,2024,Construction/Industrials,Germany,12051.16,15972.01,111986.94,27627.63,45.07,218671.18,28099.99,54.43,1156,0.319,44.62,3,54.77
20,Siemens AG,2024,Construction/Industrials,Germany,2633421.66,983797.78,18607750.48,2351695.24,49.32,20825651.31,1631732.45,69.07,221564,0.253,75.42,25,54.28
21,Mytilineos S.A.,2024,Manufacturing,Greece,41581.8,24140.46,201964.99,23312.13,28.75,820158.56,16830.06,42.29,1780,0.313,65.38,4,60.58
22,Solvay Belgium,2024,Manufacturing,Belgium,28673.65,9148.82,68558.42,41201.77,47.38,1182631.07,8606.55,41.79,1438,0.272,50.53,5,53.83
23,Electrica S.A.,2024,Energy/Utilities,Romania,4948523.23,440715.94,3663181.98,6455708.16,43.45,42912003.01,203371.98,58.28,13757,0.307,66.9,11,62.45
24,TUI AG,2024,Consumer Goods/Retail,Germany,21991.21,16462.05,153704.22,27270.29,47.39,1105879.22,5950.0,62.55,11703,0.657,52.24,4,65.07
25,Tokmanni Group,2024,Consumer Goods/Retail,Finland,67.08,787.23,6162.61,441.9,44.12,12576.39,245.63,66.66,344,0.661,43.24,1,62.54
26,S Immo AG,2024,Construction/Industrials,Austria,53541.73,33027.88,251443.57,72848.18,41.81,615439.15,32539.87,66.43,5443,0.199,65.93,9,56.27
27,A2A S.p.A.,2024,Energy/Utilities,Italy,10358933.12,317373.52,11151354.59,3334863.27,40.63,57977059.48,366569.78,65.26,11244,0.353,69.22,11,55.96
28,Rovio Entertainment,2024,Technology,Finland,75651.75,148736.31,494053.78,225833.22,62.34,1069640.01,47520.85,71.58,66432,0.343,67.87,2,70.09
29,JDE Peet's,2024,Consumer Goods/Retail,Netherlands,38962.12,131119.61,861144.44,124287.58,37.21,1707525.72,123984.66,64.89,37276,0.535,69.44,6,70.04
30,CFE (Compagnie d'Entreprises),2024,Construction/Industrials,Belgium,194434.39,98418.22,1303128.85,236230.03,11.8,707068.75,81400.57,74.88,16818,0.261,70.75,14,52.12
31,Orange SA,2024,Telecommunications,France,57042.99,339938.72,691737.19,515607.94,70.77,400028.31,12459.67,85.48,31505,0.439,75.71,5,67.62
32,Telefónica S.A.,2024,Telecommunications,Spain,15416.4,35792.56,117934.41,124064.74,47.44,420964.34,14740.08,74.3,10694,0.354,70.77,2,66.6
33,Andros,2024,Consumer Goods/Retail,France,13536.02,16032.38,175251.55,16869.87,22.13,254192.61,11184.64,76.33,9512,0.591,75.24,2,65.31
34,Gestamp,2024,Automotive/Transport,Spain,350276.73,167474.9,6159515.83,161225.87,55.45,2098614.04,99833.33,78.2,18448,0.301,65.22,11,45.63
35,Nemetschek SE,2024,Technology,Germany,193.14,1164.45,1723.72,1005.09,92.16,4593.56,176.89,86.99,365,0.376,75.7,1,70.05
36,Gruppo Feltrinelli,2024,Consumer Goods/Retail,Italy,3662.39,18041.24,163594.03,6465.83,48.76,438740.8,21820.15,60.37,7999,0.549,56.51,5,62.03
37,Origin Enterprises,2024,Consumer Goods/Retail,Ireland,4137.93,19579.36,177428.33,9668.82,28.92,352375.1,3166.42,64.38,4862,0.525,54.11,1,60.48
38,Autostrade per l'Italia,2024,Construction/Industrials,Italy,85010.8,64452.97,533179.53,54045.22,22.19,1076601.1,122251.59,36.32,6422,0.182,59.33,9,48.18
39,Creepy Jar,2024,Technology,Poland,822.28,17255.61,40063.85,12739.75,58.35,64592.83,5177.46,74.07,5026,0.254,71.25,1,60.88
40,Arla Foods,2024,Consumer Goods/Retail,Denmark,9934.96,9291.65,115727.49,13853.35,20.19,458801.94,14747.05,61.62,3106,0.697,70.43,2,59.78
41,Just Eat Takeaway,2024,Consumer Goods/Retail,Netherlands,176.63,243.14,1402.43,93.79,44.51,6595.46,267.17,61.13,134,0.658,38.95,0,61.61
42,Fendi,2024,Consumer Goods/Retail,Italy,13142.32,8103.3,98083.41,47838.09,51.36,585817.22,9946.95,49.68,11532,0.568,44.68,4,64.06
